mode,TITLE,PEPTIDE,PRECURSOR_TYPE,PEPMASS
positive,HMDB0000866_20 eV_[M+H]+,[H]OC(=O)[C@@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])c1c([H])c([H])c(O[H])c([H])c1[H],[M+H]+,224.0923
positive,HMDB0002095_20 eV_[M+H]+,[H]OC(=O)C([H])([H])C(=O)O[C@]([H])(C([H])([H])C(=O)[O-])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[M+H]+,248.1134
positive,HMDB0004083_20 eV_[M+H]+,[H]OC(=O)C(=O)C([H])([H])C(=O)c1c([H])c([H])c([H])c(O[H])c1N([H])[H],[M+H]+,224.0559
positive,HMDB0004087_20 eV_[M+H]+,[H]c1c([H])c([H])c(C([H])([H])C2([H])c3c([H])c([H])c([H])c([H])c3C([H])([H])C([H])([H])N2[H])c([H])c1[H],[M+H]+,224.1439
positive,HMDB0013068_20 eV_[M+H]+,[H]OC(=O)[C@]1(C([H])([H])[H])c2c([H])c(O[H])c(O[H])c([H])c2C([H])([H])C([H])([H])N1[H],[M+H]+,224.0923
positive,HMDB0013127_20 eV_[M+H]+,[H]O[C@]([H])(C([H])([H])[H])C([H])([H])C(=O)O[C@@]([H])(C([H])([H])C(=O)[O-])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[M+H]+,248.1498
positive,HMDB0014597_20 eV_[M+H]+,[H]c1c([H])c([H])c(C2(C(=O)OC([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])c([H])c1[H],[M+H]+,248.1651
positive,HMDB0015047_20 eV_[M+H]+,[H]c1nc(C([H])([H])[H])n(C([H])([H])C([H])([H])S(=O)(=O)C([H])([H])C([H])([H])[H])c1[N+](=O)[O-],[M+H]+,248.0705
positive,HMDB0015168_20 eV_[M+H]+,[H]C(=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C(=O)[C@@]1([H])O[C@@]1([H])C(=O)N([H])[H])C([H])([H])[H],[M+H]+,224.1287
positive,HMDB0015472_20 eV_[M+H]+,[H]c1c([H])c(OC(=O)N(C([H])([H])[H])C([H])([H])[H])c([H])c([N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c1[H],[M+H]+,224.1519
